2025-12-21 12:48:01,853 - INFO - Starting Stock Market Game Engine...
2025-12-21 12:48:01,853 - INFO - GameEngine initialized
2025-12-21 12:48:01,869 - INFO - Game Engine started on 127.0.0.1:9999
2025-12-21 12:48:01,870 - INFO - Max connections: 10
2025-12-21 12:48:01,870 - INFO - Waiting for PHP connections...
2025-12-21 12:48:13,581 - INFO - New connection from ('127.0.0.1', 58152). Active: 1
2025-12-21 12:48:14,018 - INFO - Created new game: default_game
2025-12-21 12:48:14,020 - INFO - Connection closed: ('127.0.0.1', 58152). Active: 0
2025-12-21 12:48:30,055 - INFO - New connection from ('127.0.0.1', 58155). Active: 1
2025-12-21 12:48:30,057 - INFO - Connection closed: ('127.0.0.1', 58155). Active: 0
2025-12-21 12:49:31,432 - INFO - New connection from ('127.0.0.1', 58164). Active: 1
2025-12-21 12:49:31,433 - INFO - Connection closed: ('127.0.0.1', 58164). Active: 0
2025-12-21 12:50:03,401 - INFO - New connection from ('127.0.0.1', 58171). Active: 1
2025-12-21 12:50:03,411 - INFO - Connection closed: ('127.0.0.1', 58171). Active: 0
2025-12-21 12:50:06,327 - INFO - New connection from ('127.0.0.1', 58172). Active: 1
2025-12-21 12:50:06,328 - INFO - Connection closed: ('127.0.0.1', 58172). Active: 0
2025-12-21 12:50:27,921 - INFO - New connection from ('127.0.0.1', 58177). Active: 1
2025-12-21 12:50:27,922 - INFO - Connection closed: ('127.0.0.1', 58177). Active: 0
2025-12-21 12:50:38,858 - INFO - New connection from ('127.0.0.1', 58180). Active: 1
2025-12-21 12:50:38,858 - INFO - Connection closed: ('127.0.0.1', 58180). Active: 0
2025-12-21 12:50:58,500 - INFO - New connection from ('127.0.0.1', 58208). Active: 1
2025-12-21 12:50:58,501 - INFO - Connection closed: ('127.0.0.1', 58208). Active: 0
2025-12-21 12:53:50,775 - INFO - New connection from ('127.0.0.1', 58256). Active: 1
2025-12-21 12:53:50,776 - INFO - Connection closed: ('127.0.0.1', 58256). Active: 0
2025-12-21 12:53:52,294 - INFO - New connection from ('127.0.0.1', 58257). Active: 1
2025-12-21 12:53:52,304 - INFO - Connection closed: ('127.0.0.1', 58257). Active: 0
2025-12-21 12:54:26,674 - INFO - New connection from ('127.0.0.1', 58265). Active: 1
2025-12-21 12:54:26,675 - INFO - Connection closed: ('127.0.0.1', 58265). Active: 0
2025-12-21 13:11:49,265 - INFO - Starting Stock Market Game Engine...
2025-12-21 13:11:49,265 - INFO - GameEngine initialized
2025-12-21 13:11:49,266 - INFO - Game Engine started on 127.0.0.1:9999
2025-12-21 13:11:49,267 - INFO - Max connections: 10
2025-12-21 13:11:49,267 - INFO - Waiting for PHP connections...
2025-12-21 13:12:19,918 - INFO - New connection from ('127.0.0.1', 58356). Active: 1
2025-12-21 13:12:19,919 - INFO - Created new game: game_69481fa6942d8
2025-12-21 13:12:19,920 - INFO - Connection closed: ('127.0.0.1', 58356). Active: 0
2025-12-21 13:14:36,792 - INFO - New connection from ('127.0.0.1', 58373). Active: 1
2025-12-21 13:14:36,793 - INFO - Connection closed: ('127.0.0.1', 58373). Active: 0
2025-12-21 13:14:39,911 - INFO - New connection from ('127.0.0.1', 58375). Active: 1
2025-12-21 13:14:39,914 - INFO - Connection closed: ('127.0.0.1', 58375). Active: 0
2025-12-21 13:14:42,999 - INFO - New connection from ('127.0.0.1', 58376). Active: 1
2025-12-21 13:14:43,000 - INFO - Connection closed: ('127.0.0.1', 58376). Active: 0
2025-12-21 13:14:46,071 - INFO - New connection from ('127.0.0.1', 58377). Active: 1
2025-12-21 13:14:46,073 - INFO - Connection closed: ('127.0.0.1', 58377). Active: 0
2025-12-21 13:14:49,107 - INFO - New connection from ('127.0.0.1', 58378). Active: 1
2025-12-21 13:14:49,108 - INFO - Connection closed: ('127.0.0.1', 58378). Active: 0
2025-12-21 13:14:49,116 - INFO - New connection from ('127.0.0.1', 58379). Active: 1
2025-12-21 13:14:49,117 - INFO - Connection closed: ('127.0.0.1', 58379). Active: 0
2025-12-21 13:14:49,148 - INFO - New connection from ('127.0.0.1', 58380). Active: 1
2025-12-21 13:14:49,149 - INFO - Connection closed: ('127.0.0.1', 58380). Active: 0
2025-12-21 13:14:52,218 - INFO - New connection from ('127.0.0.1', 58381). Active: 1
2025-12-21 13:14:52,220 - INFO - Connection closed: ('127.0.0.1', 58381). Active: 0
2025-12-21 13:14:55,240 - INFO - New connection from ('127.0.0.1', 58382). Active: 1
2025-12-21 13:14:55,240 - INFO - Connection closed: ('127.0.0.1', 58382). Active: 0
2025-12-21 13:14:57,095 - INFO - New connection from ('127.0.0.1', 58383). Active: 1
2025-12-21 13:14:57,096 - INFO - Connection closed: ('127.0.0.1', 58383). Active: 0
2025-12-21 13:15:00,141 - INFO - New connection from ('127.0.0.1', 58384). Active: 1
2025-12-21 13:15:00,141 - INFO - Connection closed: ('127.0.0.1', 58384). Active: 0
2025-12-21 13:15:03,210 - INFO - New connection from ('127.0.0.1', 58385). Active: 1
2025-12-21 13:15:03,211 - INFO - Connection closed: ('127.0.0.1', 58385). Active: 0
2025-12-21 13:15:06,285 - INFO - New connection from ('127.0.0.1', 58386). Active: 1
2025-12-21 13:15:06,286 - INFO - Connection closed: ('127.0.0.1', 58386). Active: 0
2025-12-21 13:15:09,356 - INFO - New connection from ('127.0.0.1', 58387). Active: 1
2025-12-21 13:15:09,357 - INFO - Connection closed: ('127.0.0.1', 58387). Active: 0
2025-12-21 13:15:13,340 - INFO - New connection from ('127.0.0.1', 58390). Active: 1
2025-12-21 13:15:13,341 - INFO - Connection closed: ('127.0.0.1', 58390). Active: 0
2025-12-21 13:15:17,410 - INFO - New connection from ('127.0.0.1', 58391). Active: 1
2025-12-21 13:15:17,412 - INFO - Connection closed: ('127.0.0.1', 58391). Active: 0
2025-12-21 13:15:21,351 - INFO - New connection from ('127.0.0.1', 58394). Active: 1
2025-12-21 13:15:21,352 - INFO - Connection closed: ('127.0.0.1', 58394). Active: 0
2025-12-21 13:15:25,331 - INFO - New connection from ('127.0.0.1', 58395). Active: 1
2025-12-21 13:15:25,332 - INFO - Connection closed: ('127.0.0.1', 58395). Active: 0
2025-12-21 13:15:29,350 - INFO - New connection from ('127.0.0.1', 58396). Active: 1
2025-12-21 13:15:29,352 - INFO - Connection closed: ('127.0.0.1', 58396). Active: 0
2025-12-21 13:15:32,409 - INFO - New connection from ('127.0.0.1', 58397). Active: 1
2025-12-21 13:15:32,410 - INFO - Connection closed: ('127.0.0.1', 58397). Active: 0
2025-12-21 13:15:35,520 - INFO - New connection from ('127.0.0.1', 58398). Active: 1
2025-12-21 13:15:35,522 - INFO - Connection closed: ('127.0.0.1', 58398). Active: 0
2025-12-21 13:15:38,648 - INFO - New connection from ('127.0.0.1', 58400). Active: 1
2025-12-21 13:15:38,650 - INFO - Connection closed: ('127.0.0.1', 58400). Active: 0
2025-12-21 13:15:42,332 - INFO - New connection from ('127.0.0.1', 58401). Active: 1
2025-12-21 13:15:42,333 - INFO - Connection closed: ('127.0.0.1', 58401). Active: 0
2025-12-21 13:15:45,415 - INFO - New connection from ('127.0.0.1', 58402). Active: 1
2025-12-21 13:15:45,416 - INFO - Connection closed: ('127.0.0.1', 58402). Active: 0
2025-12-21 13:15:49,340 - INFO - New connection from ('127.0.0.1', 58404). Active: 1
2025-12-21 13:15:49,340 - INFO - Connection closed: ('127.0.0.1', 58404). Active: 0
2025-12-21 13:15:53,341 - INFO - New connection from ('127.0.0.1', 58405). Active: 1
2025-12-21 13:15:53,342 - INFO - Connection closed: ('127.0.0.1', 58405). Active: 0
2025-12-21 13:15:57,333 - INFO - New connection from ('127.0.0.1', 58406). Active: 1
2025-12-21 13:15:57,334 - INFO - Connection closed: ('127.0.0.1', 58406). Active: 0
2025-12-21 13:16:00,825 - INFO - New connection from ('127.0.0.1', 58407). Active: 1
2025-12-21 13:16:00,825 - INFO - Connection closed: ('127.0.0.1', 58407). Active: 0
2025-12-21 13:16:03,895 - INFO - New connection from ('127.0.0.1', 58408). Active: 1
2025-12-21 13:16:03,896 - INFO - Connection closed: ('127.0.0.1', 58408). Active: 0
2025-12-21 13:16:06,967 - INFO - New connection from ('127.0.0.1', 58409). Active: 1
2025-12-21 13:16:06,969 - INFO - Connection closed: ('127.0.0.1', 58409). Active: 0
2025-12-21 13:16:10,045 - INFO - New connection from ('127.0.0.1', 58410). Active: 1
2025-12-21 13:16:10,046 - INFO - Connection closed: ('127.0.0.1', 58410). Active: 0
2025-12-21 13:16:13,124 - INFO - New connection from ('127.0.0.1', 58411). Active: 1
2025-12-21 13:16:13,126 - INFO - Connection closed: ('127.0.0.1', 58411). Active: 0
2025-12-21 13:16:16,335 - INFO - New connection from ('127.0.0.1', 58413). Active: 1
2025-12-21 13:16:16,336 - INFO - Connection closed: ('127.0.0.1', 58413). Active: 0
2025-12-21 13:16:20,341 - INFO - New connection from ('127.0.0.1', 58414). Active: 1
2025-12-21 13:16:20,342 - INFO - Connection closed: ('127.0.0.1', 58414). Active: 0
2025-12-21 13:16:24,339 - INFO - New connection from ('127.0.0.1', 58415). Active: 1
2025-12-21 13:16:24,340 - INFO - Connection closed: ('127.0.0.1', 58415). Active: 0
2025-12-21 13:16:28,329 - INFO - New connection from ('127.0.0.1', 58417). Active: 1
2025-12-21 13:16:28,330 - INFO - Connection closed: ('127.0.0.1', 58417). Active: 0
2025-12-21 13:16:32,335 - INFO - New connection from ('127.0.0.1', 58418). Active: 1
2025-12-21 13:16:32,336 - INFO - Connection closed: ('127.0.0.1', 58418). Active: 0
2025-12-21 13:16:36,582 - INFO - New connection from ('127.0.0.1', 58419). Active: 1
2025-12-21 13:16:36,583 - INFO - Connection closed: ('127.0.0.1', 58419). Active: 0
2025-12-21 13:16:40,342 - INFO - New connection from ('127.0.0.1', 58423). Active: 1
2025-12-21 13:16:40,342 - INFO - Connection closed: ('127.0.0.1', 58423). Active: 0
2025-12-21 13:16:44,341 - INFO - New connection from ('127.0.0.1', 58424). Active: 1
2025-12-21 13:16:44,342 - INFO - Connection closed: ('127.0.0.1', 58424). Active: 0
2025-12-21 13:16:48,334 - INFO - New connection from ('127.0.0.1', 58425). Active: 1
2025-12-21 13:16:48,336 - INFO - Connection closed: ('127.0.0.1', 58425). Active: 0
2025-12-21 13:16:52,330 - INFO - New connection from ('127.0.0.1', 58426). Active: 1
2025-12-21 13:16:52,331 - INFO - Connection closed: ('127.0.0.1', 58426). Active: 0
2025-12-21 13:16:56,327 - INFO - New connection from ('127.0.0.1', 58427). Active: 1
2025-12-21 13:16:56,328 - INFO - Connection closed: ('127.0.0.1', 58427). Active: 0
2025-12-21 13:17:00,328 - INFO - New connection from ('127.0.0.1', 58429). Active: 1
2025-12-21 13:17:00,329 - INFO - Connection closed: ('127.0.0.1', 58429). Active: 0
2025-12-21 13:17:04,333 - INFO - New connection from ('127.0.0.1', 58430). Active: 1
2025-12-21 13:17:04,334 - INFO - Connection closed: ('127.0.0.1', 58430). Active: 0
2025-12-21 13:17:08,339 - INFO - New connection from ('127.0.0.1', 58431). Active: 1
2025-12-21 13:17:08,340 - INFO - Connection closed: ('127.0.0.1', 58431). Active: 0
2025-12-21 13:17:12,328 - INFO - New connection from ('127.0.0.1', 58432). Active: 1
2025-12-21 13:17:12,328 - INFO - Connection closed: ('127.0.0.1', 58432). Active: 0
